Date,Open,High,Low,Close,Adj Close,Volume
2005-01-03,4.627143,4.650714,4.471428,63.290001,4.520714,172998000
2005-01-04,4.556428,4.676429,4.497857,63.940002,4.567143,274202600
2005-01-05,4.604286,4.660714,4.575,64.5,4.607143,170108400
2005-01-06,4.619286,4.636428,4.523571,64.550003,4.610714,176388800
2005-01-07,4.642857,4.973571,4.625,69.25,4.946429,556862600
2005-01-10,4.987857,5.05,4.848571,68.960007,4.925714,431327400
2005-01-11,4.875,4.939286,4.581429,64.560005,4.611429,652906800
2005-01-12,4.675,4.707143,4.521429,65.460007,4.675714,479925600
2005-01-13,5.265,5.315714,4.980714,69.800003,4.985714,791179200
2005-01-14,5.017857,5.122857,4.942143,70.199997,5.014286,442685600
2005-01-18,4.989286,5.05,4.839286,70.650002,5.046429,251615000
2005-01-19,5.035,5.104286,4.982143,69.879997,4.991428,187973800
2005-01-20,4.975,5.090714,4.962143,70.459999,5.032857,228730600
2005-01-21,5.093572,5.114286,5,70.489998,5.035,227833200
2005-01-24,5.07,5.127143,5.039286,70.759995,5.054286,210407400
2005-01-25,5.097857,5.202857,5.067143,72.050003,5.146429,242307800
2005-01-26,5.19,5.196429,5.087143,72.25,5.160714,184874200
2005-01-27,5.154286,5.208571,5.110714,72.639999,5.188571,124056800
2005-01-28,5.187143,5.284286,5.174286,73.979996,5.284286,200403000
2005-01-31,5.327143,5.563571,5.322143,76.899994,5.492857,420274400
2005-02-01,5.503572,5.555,5.47,77.529999,5.537857,169598800
2005-02-02,5.567857,5.707857,5.549286,79.629997,5.687857,255015600
2005-02-03,5.65,5.673572,5.523571,77.809998,5.557857,182912800
2005-02-04,5.562143,5.637857,5.537857,78.840004,5.631429,140889000
2005-02-07,5.637857,5.667857,5.535714,78.939995,5.638571,131114200
2005-02-08,5.647857,5.812857,5.627857,80.900002,5.778572,222504800
2005-02-09,5.788571,5.856429,5.578571,78.739998,5.624286,297864000
2005-02-10,5.622857,5.662857,5.475714,78.360001,5.597143,273254800
2005-02-11,5.704286,5.84,5.638571,81.210007,5.800714,300263600
2005-02-14,5.909286,6.056428,5.860714,84.630005,6.045,317865800
2005-02-15,6.19,6.362857,6.142857,88.410004,6.315,578054400
2005-02-16,6.296429,6.442857,6.239286,90.129997,6.437857,409810800
2005-02-17,6.475,6.491428,6.246428,87.809998,6.272143,379618400
2005-02-18,6.267143,6.275714,6.160714,86.809998,6.200714,290813600
2005-02-22,6.164286,6.307143,6.092143,85.290001,6.092143,304823400
2005-02-23,6.194286,6.317857,6.110714,88.229996,6.302143,336295400
2005-02-24,6.32,6.379286,6.266428,88.93,6.352143,379757000
2005-02-25,6.401429,6.422143,6.299286,88.989998,6.356429,228877600
2005-02-28,6.382857,6.448571,6.28,44.860001,6.408571,162902600
2005-03-01,6.427143,6.444286,6.308571,44.5,6.357143,117047000
2005-03-02,6.321429,6.412857,6.297143,44.119999,6.302857,114540300
2005-03-03,6.338572,6.344285,5.888571,41.789997,5.97,352913400
2005-03-04,6.108572,6.144286,5.978571,42.809998,6.115714,189154700
2005-03-07,6.114286,6.178571,6.05,42.75,6.107143,112658000
2005-03-08,5.985714,6.022857,5.728571,40.529999,5.79,255362800
2005-03-09,5.662857,5.754286,5.547143,39.349998,5.621428,330616300
2005-03-10,5.647143,5.751429,5.585714,39.830002,5.69,194277300
2005-03-11,5.744286,5.798572,5.685714,40.27,5.752857,158207700
2005-03-14,5.788571,5.827143,5.645714,40.32,5.76,151346300
2005-03-15,5.805714,5.877143,5.75,40.959999,5.851429,127152200
2005-03-16,5.887143,6.044286,5.825714,41.18,5.882857,174453300
2005-03-17,5.932857,6.125714,5.902857,42.25,6.035714,200480000
2005-03-18,6.19,6.205714,6.071429,42.959999,6.137143,235037600
2005-03-21,6.184286,6.281428,6.122857,43.699997,6.242857,135282000
2005-03-22,6.244286,6.28,6.097143,42.829998,6.118571,137853800
2005-03-23,6.064286,6.2,6.002857,42.549999,6.078571,152455800
2005-03-24,6.13,6.142857,6.071429,42.5,6.071429,88176200
2005-03-28,6.107143,6.137143,6.067143,42.529999,6.075714,68852700
2005-03-29,6.08,6.118571,5.928571,41.75,5.964286,115339000
2005-03-30,6.01,6.114286,5.974286,42.800003,6.114286,98739900
2005-03-31,6.064286,6.074286,5.941429,41.669998,5.952857,159033700
2005-04-01,6.012857,6.025714,5.795714,40.889999,5.841429,160321000
2005-04-04,5.855714,5.901429,5.737143,41.09,5.87,145003600
2005-04-05,5.888571,6.034286,5.87,41.889999,5.984286,139059900
2005-04-06,6.057143,6.115714,6.021429,42.330002,6.047143,103706400
2005-04-07,6.047143,6.25,6.035714,43.559998,6.222857,126746900
2005-04-08,6.242857,6.35,6.22,43.739998,6.248571,162487500
2005-04-11,6.307143,6.321429,5.987143,41.920002,5.988572,205415700
2005-04-12,6.07,6.17,6.001429,42.66,6.094285,245265300
2005-04-13,6.135714,6.141428,5.77,41.040001,5.862857,342986700
2005-04-14,5.544286,5.651429,5.262857,37.260002,5.322857,688298100
2005-04-15,5.231429,5.321429,5.04,35.350002,5.05,432021800
2005-04-18,5,5.185714,4.857143,35.620003,5.088572,331794400
2005-04-19,5.228571,5.348571,5.124286,37.09,5.298572,270410700
2005-04-20,5.38,5.391428,5.062857,35.510002,5.072857,236282900
2005-04-21,5.2,5.315714,5.128572,37.18,5.311429,189898100
2005-04-22,5.262857,5.285714,4.985714,35.5,5.071429,209782300
2005-04-25,5.212857,5.288571,5.158571,36.98,5.282857,186615100
2005-04-26,5.254286,5.358572,5.16,36.190002,5.17,202626900
2005-04-27,5.127143,5.194286,5.072857,35.949997,5.135714,153472200
2005-04-28,5.184286,5.191429,5.034286,35.540001,5.077143,143776500
2005-04-29,5.164286,5.175714,5.031428,36.060001,5.151429,167907600
2005-05-02,5.172857,5.235714,5.145714,36.43,5.204286,116480000
2005-05-03,5.2,5.248571,5.147143,36.209999,5.172857,124184900
2005-05-04,5.158571,5.314286,5.157143,37.149998,5.307143,112044100
2005-05-05,5.321429,5.324286,5.21,36.68,5.24,96841500
2005-05-06,5.27,5.332857,5.255714,37.240002,5.32,81561900
2005-05-09,5.325714,5.35,5.25,36.969997,5.281428,88923800
2005-05-10,5.25,5.321429,5.19,36.419998,5.202857,110065900
2005-05-11,5.028572,5.095714,4.73,35.610001,5.087143,510495300
2005-05-12,5.06,5.084286,4.857143,34.130001,4.875714,242560500
2005-05-13,4.885714,5.032857,4.867143,34.77,4.967143,175678300
2005-05-16,4.937143,5.1,4.932857,35.549999,5.078571,118573700
2005-05-17,5.02,5.065714,4.934286,35.360001,5.051429,147086100
2005-05-18,5.064286,5.365714,4.998571,35.84,5.12,159180700
2005-05-19,5.111429,5.382857,5.111429,37.550003,5.364286,198290400
2005-05-20,5.321429,5.378572,5.312857,37.550003,5.364286,113162700
2005-05-23,5.407143,5.7,5.407143,39.759998,5.68,260643600
2005-05-24,5.635714,5.712857,5.575714,39.700001,5.671429,148365000
2005-05-25,5.642857,5.707143,5.617143,39.779999,5.682857,99001700
2005-05-26,5.705714,5.848571,5.705714,40.740002,5.82,131380200
2005-05-27,5.805714,5.827143,5.715714,40.560001,5.794286,79002000
2005-05-31,5.808571,5.82,5.654286,39.759998,5.68,101051300
2005-06-01,5.698571,5.822857,5.694286,40.300003,5.757143,113453200
2005-06-02,5.721428,5.76,5.657143,40.039997,5.72,93493400
2005-06-03,5.451428,5.511428,5.395714,38.240002,5.462857,239217300
2005-06-06,5.475714,5.518571,5.365714,37.919998,5.417143,202991600
